"Sample","Age"
"e7.0_10X37-2","e7.0"
"e7.0_10X39-2","e7.0"
"e7.0_10X39-3","e7.0"
"e8.0_10X21-2","e8.0"
"e8.0_10X23-2","e8.0"
"e8.5_10X08-1","e8.5"
"e9.0_10X23-3","e9.0"
"e9.0_10X23-4","e9.0"
"e9.0_10X25-2","e9.0"
"e9.0_10X25-3","e9.0"
"e9.0_10X25-4","e9.0"
"e10.0_10X25-5","e10.0"
"e10.0_10X25-6","e10.0"
"e10.0_10X25-7","e10.0"
"e10.0_10X27-2","e10.0"
"e10.0_10X27-3","e10.0"
"e10.0_10X58-5","e10.0"
"e10.0_10X72-3","e10.0"
"e11.0_10X27-7","e11.0"
"e11.0_10X40-3","e11.0"
"e11.0_10X40-4","e11.0"
"e11.0_10X40-5","e11.0"
"e11.0_10X40-6","e11.0"
"e11.0_10X59-3","e11.0"
"e12.0_10X29-2","e12.0"
"e12.0_10X29-3","e12.0"
"e12.0_10X41-3","e12.0"
"e12.0_10X59-5","e12.0"
"e12.0_10X59-7","e12.0"
"e12.0_10X71-3","e12.0"
"e12.0_10X71-4","e12.0"
"e12.0_10X71-7","e12.0"
"e12.5_10X10-2","e12.5"
"e12.5_10X10-3","e12.5"
"e13.0_10X41-6","e13.0"
"e13.0_10X60-2","e13.0"
"e13.0_10X60-3","e13.0"
"e13.5_10X12-2","e13.5"
"e13.5_10X12-3","e13.5"
"e13.5_10X12-4","e13.5"
"e13.5_10X14-2","e13.5"
"e13.5_10X14-3","e13.5"
"e13.5_10X14-4","e13.5"
"e14.0_10X42-3","e14.0"
"e14.0_10X61-5","e14.0"
"e14.0_10X62-3","e14.0"
"e14.5_10X13-4","e14.5"
"e14.5_10X13-5","e14.5"
"e14.5_10X15-2","e14.5"
"e14.5_10X15-3","e14.5"
"e14.5_10X15-4","e14.5"
"e14.5_10X15-5","e14.5"
"e15.0_10X44-3","e15.0"
"e15.0_10X64-3","e15.0"
"e15.0_10X73-3","e15.0"
"e15.0_10X73-5","e15.0"
"e15.0_10X73-6","e15.0"
"e15.0_10X74-4","e15.0"
"e15.5_10X16-2","e15.5"
"e15.5_10X16-3","e15.5"
"e15.5_10X16-4","e15.5"
"e15.5_10X16-5","e15.5"
"e16.0_10X66-3","e16.0"
"e16.0_10X66-4","e16.0"
"e16.0_10X68-3","e16.0"
"e16.0_10X69-4","e16.0"
"e16.25_10X30-4","e16.25"
"e16.25_10X30-5","e16.25"
"e16.5_10X17-2","e16.5"
"e16.5_10X17-3","e16.5"
"e16.5_10X17-4","e16.5"
"e16.5_10X17-5","e16.5"
"e17.0_10X31-5","e17.0"
"e17.0_10X68-4","e17.0"
"e17.0_10X68-6","e17.0"
"e17.0_10X70-3","e17.0"
"e17.0_10X70-5","e17.0"
"e17.0_10X70-6","e17.0"
"e17.5_10X18-2","e17.5"
"e17.5_10X18-3","e17.5"
"e17.5_10X18-4","e17.5"
"e17.5_10X18-5","e17.5"
"e18.0_10X32-2","e18.0"
"e18.0_10X32-3","e18.0"
"e18.0_10X32-4","e18.0"
"e18.0_10X32-5","e18.0"
"e18.0_10X32-6","e18.0"
"e18.0_10X45-2","e18.0"
"e18.0_10X45-4","e18.0"
"e18.0_10X45-5","e18.0"
"e18.0_10X45-6","e18.0"
"e18.0_10X70-4","e18.0"
"e18.0_10X70-7","e18.0"
