DateZebrabox,Plate,Well,PTZ,Group,Genotype,Genotype2,TotalMovement,N_events,MaxSpeed,N_HSE,N_HSE_permin
2022.10.10,1,Loc01,0,ARHGAP11,ARHGAP11A,ARHGAP11A,9677.172,172,8.928645295,0,0
2022.10.10,1,Loc02,0,ARHGAP11,ARHGAP11A,ARHGAP11A,7830.078,194,23.59059059,1,0.016666667
2022.10.10,1,Loc03,0,ARHGAP11,ARHGAP11A,ARHGAP11A,5839.931,114,12.78878879,0,0
2022.10.10,1,Loc04,0,ARHGAP11,ARHGAP11A,ARHGAP11A,5289.442,118,10.01988072,0,0
2022.10.10,1,Loc05,0,ARHGAP11,ARHGAP11A,ARHGAP11A,9244.93,165,26.33833834,1,0.016666667
2022.10.10,1,Loc06,0,ARHGAP11,ARHGAP11A,ARHGAP11A,8269.003,138,13.83683684,0,0
2022.10.10,1,Loc07,0,ARHGAP11,ARHGAP11A,ARHGAP11A,6852.335,164,7.86,0,0
2022.10.10,1,Loc08,0,ARHGAP11,ARHGAP11A,ARHGAP11A,6538.941,126,15.53753754,0,0
2022.10.10,1,Loc09,0,ARHGAP11,ARHGAP11A,ARHGAP11A,5248.144,100,19.98298298,0,0
2022.10.10,1,Loc10,0,ARHGAP11,ARHGAP11A,ARHGAP11A,8745.512,211,14.852,0,0
2022.10.10,1,Loc11,0,control,controlMO,controlMO,4874.88,98,11.25425425,0,0
2022.10.10,1,Loc12,0,control,controlMO,controlMO,4375.033,74,9.273009307,0,0
2022.10.10,1,Loc13,0,ARHGAP11,ARHGAP11A,ARHGAP11A,7123.61,146,9.333333333,0,0
2022.10.10,1,Loc14,0,ARHGAP11,ARHGAP11A,ARHGAP11A,8513.979,187,23.74174174,1,0.016666667
2022.10.10,1,Loc15,0,ARHGAP11,ARHGAP11A,ARHGAP11A,5547.731,126,15.32732733,0,0
2022.10.10,1,Loc16,0,ARHGAP11,ARHGAP11A,ARHGAP11A,7844.137,209,13.15646941,0,0
2022.10.10,1,Loc17,0,ARHGAP11,ARHGAP11A,ARHGAP11A,9388.896,136,11.091,0,0
2022.10.10,1,Loc18,0,ARHGAP11,ARHGAP11A,ARHGAP11A,7773.587,175,15.558,0,0
2022.10.10,1,Loc19,0,ARHGAP11,ARHGAP11A,ARHGAP11A,6151.534,126,13.35335335,0,0
2022.10.10,1,Loc20,0,ARHGAP11,ARHGAP11A,ARHGAP11A,6307.473,121,9.659772492,0,0
2022.10.10,1,Loc21,0,ARHGAP11,ARHGAP11A,ARHGAP11A,8320.59,202,13.32732733,0,0
2022.10.10,1,Loc22,0,ARHGAP11,ARHGAP11A,ARHGAP11A,3086.582,97,41.25925926,1,0.016666667
2022.10.10,1,Loc23,0,control,controlMO,controlMO,7077.906,132,8.885448916,0,0
2022.10.10,1,Loc24,0,control,controlMO,controlMO,8914.933,138,21.69067797,0,0
2022.10.10,1,Loc25,0,ARHGAP11,ARHGAP11B,ARHGAP11B,4699.765,114,10.93093093,0,0
2022.10.10,1,Loc26,0,ARHGAP11,ARHGAP11B,ARHGAP11B,5449.604,108,17.41241241,0,0
2022.10.10,1,Loc27,0,ARHGAP11,ARHGAP11B,ARHGAP11B,3730.43,54,12.533,0,0
2022.10.10,1,Loc28,0,ARHGAP11,ARHGAP11B,ARHGAP11B,2715.865,26,7.800813008,0,0
2022.10.10,1,Loc29,0,ARHGAP11,ARHGAP11B,ARHGAP11B,3494.362,93,7.559440559,0,0
2022.10.10,1,Loc30,0,ARHGAP11,ARHGAP11B,ARHGAP11B,4835.28,84,15.73073073,0,0
2022.10.10,1,Loc31,0,ARHGAP11,ARHGAP11B,ARHGAP11B,2708.63,30,5.871,0,0
2022.10.10,1,Loc32,0,ARHGAP11,ARHGAP11B,ARHGAP11B,3030.309,21,25.06606607,1,0.016666667
2022.10.10,1,Loc33,0,ARHGAP11,ARHGAP11B,ARHGAP11B,6460.465,142,10.45652174,0,0
2022.10.10,1,Loc34,0,ARHGAP11,ARHGAP11B,ARHGAP11B,4338.122,127,13.73873874,0,0
2022.10.10,1,Loc35,0,control,controlMO,controlMO,5912.438,148,12.24503968,0,0
2022.10.10,1,Loc36,0,control,controlMO,controlMO,7090.692,151,31.52952953,1,0.016666667
2022.10.10,1,Loc37,0,ARHGAP11,ARHGAP11B,ARHGAP11B,8476.369,117,20.76176176,0,0
2022.10.10,1,Loc38,0,ARHGAP11,ARHGAP11B,ARHGAP11B,8236.701,172,20.0259481,0,0
2022.10.10,1,Loc39,0,ARHGAP11,ARHGAP11B,ARHGAP11B,6903.668,143,14.19845111,0,0
2022.10.10,1,Loc40,0,ARHGAP11,ARHGAP11B,ARHGAP11B,8389.626,171,24.48648649,1,0.016666667
2022.10.10,1,Loc41,0,ARHGAP11,ARHGAP11B,ARHGAP11B,6842.942,162,14.76776777,0,0
2022.10.10,1,Loc42,0,ARHGAP11,ARHGAP11B,ARHGAP11B,8781.579,172,10.66505324,0,0
2022.10.10,1,Loc43,0,ARHGAP11,ARHGAP11B,ARHGAP11B,6188.493,147,15.71144279,0,0
2022.10.10,1,Loc44,0,ARHGAP11,ARHGAP11B,ARHGAP11B,3314.275,36,8.71732817,0,0
2022.10.10,1,Loc45,0,ARHGAP11,ARHGAP11B,ARHGAP11B,7008.464,87,22.12903226,0,0
2022.10.10,1,Loc46,0,ARHGAP11,ARHGAP11B,ARHGAP11B,5508.893,116,8.596695821,0,0
2022.10.10,1,Loc47,0,control,controlMO,controlMO,3518.894,54,12.43995859,0,0
2022.10.10,1,Loc48,0,control,controlMO,controlMO,4813.412,83,9.394409938,0,0
2022.10.10,1,Loc49,0,ARHGAP11,arhgap11MO,arhgap11MO,4909.496,107,6.755533199,0,0
2022.10.10,1,Loc50,0,ARHGAP11,arhgap11MO,arhgap11MO,7025.405,113,10.609,0,0
2022.10.10,1,Loc51,0,ARHGAP11,arhgap11MO,arhgap11MO,3446.025,78,10.37975952,0,0
2022.10.10,1,Loc52,0,ARHGAP11,arhgap11MO,arhgap11MO,5683.188,99,21.49122807,0,0
2022.10.10,1,Loc53,0,ARHGAP11,arhgap11MO,arhgap11MO,4449.29,46,6.982,0,0
2022.10.10,1,Loc54,0,ARHGAP11,arhgap11MO,arhgap11MO,3242.636,65,6.766364552,0,0
2022.10.10,1,Loc55,0,ARHGAP11,arhgap11MO,arhgap11MO,5812.709,110,10.6407669,0,0
2022.10.10,1,Loc56,0,ARHGAP11,arhgap11MO,arhgap11MO,9781.473,132,9.49702381,0,0
2022.10.10,1,Loc57,0,ARHGAP11,arhgap11MO,arhgap11MO,9490.543,173,11.61646586,0,0
2022.10.10,1,Loc58,0,ARHGAP11,arhgap11MO,arhgap11MO,5701.826,165,9.145,0,0
