Human_ENSEMBL,Human_GeneName,Zebrafish_ENSEMBL,Zebrafish_GeneName
ENSG00000198888,MT-ND1,ENSDARG00000063895,mt-nd1
ENSG00000198763,MT-ND2,ENSDARG00000063899,mt-nd2
ENSG00000198804,MT-CO1,ENSDARG00000063905,mt-co1
ENSG00000198712,MT-CO2,ENSDARG00000063908,mt-co2
ENSG00000198899,MT-ATP6,ENSDARG00000063911,mt-atp6
ENSG00000198938,MT-CO3,ENSDARG00000063912,mt-co3
ENSG00000198840,MT-ND3,ENSDARG00000063914,mt-nd3
ENSG00000198886,MT-ND4,ENSDARG00000063917,mt-nd4
ENSG00000198786,MT-ND5,ENSDARG00000063921,mt-nd5
ENSG00000198695,MT-ND6,ENSDARG00000063922,mt-nd6
ENSG00000198727,MT-CYB,ENSDARG00000063924,mt-cyb
ENSG00000273748,,ENSDARG00000056504,frg1
ENSG00000277196,,ENSDARG00000086512,prodhb
ENSG00000277196,,ENSDARG00000086746,prodha
ENSG00000274847,MAFIP,ENSDARG00000028899,tekt4
ENSG00000278817,,ENSDARG00000005500,dgcr6
ENSG00000276345,,ENSDARG00000045696,mrpl23
ENSG00000275063,,ENSDARG00000096340,ighv8-2
ENSG00000275063,,ENSDARG00000096255,ighv8-1
ENSG00000275063,,ENSDARG00000096259,ighv4-1
ENSG00000273554,,ENSDARG00000043646,slc6a8
ENSG00000114374,USP9Y,ENSDARG00000013708,usp9
ENSG00000236424,TSPY10,ENSDARG00000005015,tspy
ENSG00000236424,TSPY10,ENSDARG00000070560,nap1l4a
ENSG00000258992,TSPY1,ENSDARG00000005015,tspy
ENSG00000258992,TSPY1,ENSDARG00000070560,nap1l4a
ENSG00000012817,KDM5D,ENSDARG00000061504,kdm4c
ENSG00000176679,TGIF2LY,ENSDARG00000052150,pbx4
ENSG00000176679,TGIF2LY,ENSDARG00000019717,pbx2
ENSG00000182415,CDY2A,ENSDARG00000038985,cdyl
ENSG00000205916,DAZ4,ENSDARG00000036214,dazl
ENSG00000129873,CDY2B,ENSDARG00000038985,cdyl
ENSG00000184895,SRY,ENSDARG00000010770,sox19a
ENSG00000184895,SRY,ENSDARG00000040266,sox19b
ENSG00000184895,SRY,ENSDARG00000100591,sox32
ENSG00000129824,RPS4Y1,ENSDARG00000014690,rps4x
ENSG00000067048,DDX3Y,ENSDARG00000005774,ddx3xb
ENSG00000067048,DDX3Y,ENSDARG00000020573,ddx3xa
ENSG00000183878,UTY,ENSDARG00000061759,kdm6a
ENSG00000187191,DAZ3,ENSDARG00000036214,dazl
ENSG00000188120,DAZ1,ENSDARG00000036214,dazl
ENSG00000092377,TBL1Y,ENSDARG00000060438,tbl1x
ENSG00000205944,DAZ2,ENSDARG00000036214,dazl
ENSG00000168757,TSPY2,ENSDARG00000005015,tspy
ENSG00000168757,TSPY2,ENSDARG00000070560,nap1l4a
